rowid,region,customer,xb_01,xb_02,xb_03,xn_01,xn_02,xn_03,xa_01,xa_02,xa_03,xb_04,xb_05,xb_06,xb_07,xb_08,xn_04,xn_05,xn_06,xn_07,xn_08,xa_04,xa_05,xa_06,xa_07,xa_08,xw_01,xw_02,xw_03,xs_01,xs_02,xs_03,xs_04,xs_05,xs_06,response,outcome
17,XX,B,2.6296296296296298,8,-2,0.9629629629629628,6,-3,6.814814814814815,15,-1,0.769753086419753,-2,2,1.6296296296296295,-0.14814814814814814,0.26049382716049385,-1.5,2,1.1851851851851851,-0.7037037037037037,2.6030864197530863,-1,6,4.037037037037037,1,62.92857142857143,14,109,0.11754931794609964,-0.6011373483715206,0.3890499901567059,0.2715918490535705,0.0725892890523887,0.5171357426902108,3.182664878496951,non_event
18,XX,B,3.25,10,-2,1.6,8,-6,7.9,24,1,0.9491666666666668,-1,3.5,1.8,0.05,0.5191666666666667,-1.5,2.5,1.65,-0.75,2.4483333333333333,0.5,8,4.25,0.15,64.38095238095238,0,99,0.14189340894773375,-0.15769282858008685,0.3122286058365286,0.27286703515451843,0.10751321910556393,0.6126574802221133,2.462464396053086,non_event
19,XX,B,2.816901408450704,10,-2,1.408450704225352,9,-4,7.338028169014085,24,-2,0.9735412474849094,-1,6,2,-0.02816901408450704,0.3874245472837022,-1,2,1.323943661971831,-0.5915492957746479,2.774111334674715,-1,15,4.619718309859155,0.9577464788732394,64.23287671232876,0,103,0.2034865096305639,-0.23089081680791088,0.9295746828034264,0.2689084069513506,0.01866113307103197,0.6908978732800339,1.8566615059969704,non_event
22,XX,B,2.870967741935484,8,-4,1.1612903225806452,5,-3,6.67741935483871,15,-3,1.053225806451613,-1,3,1.935483870967742,0.25806451612903225,0.44086021505376344,-1,2,1.2258064516129032,-0.3548387096774194,2.746774193548387,-1,8,4.32258064516129,1.2258064516129032,55.625,0,102,0.16000629580862183,-0.6339245486174196,0.8383607324380847,0.3010086917681708,0.1093667619077919,0.8214469056183729,1.5531299519193635,non_event
24,XX,B,3.7857142857142856,6,1,3,7,0,8.428571428571429,14,3,1.186904761904762,0.5,2,2.142857142857143,0.2857142857142857,1.1214285714285714,0,3,1.9285714285714288,0.21428571428571427,2.8421768707482995,1,4.333333333333333,5.357142857142857,0.6428571428571429,60.5,8,96,0.18937156477611788,-0.2869657093917315,0.5203202244848697,0.27592631333888024,0.01415608175648384,0.6058711203862271,2.6465947883210705,non_event
25,XX,B,2.792452830188679,10,-4,1.7452830188679245,12,-5,8.122641509433961,26,-4,0.9488207547169812,-1.3333333333333333,5,1.7358490566037736,0.11320754716981132,0.6562668463611859,-2.5,3,1.349056603773585,-0.07547169811320754,2.8400943396226417,-3,14,4.547169811320755,1.0943396226415094,60.81651376146789,8,107,0.18010330651629078,-0.6439706013219961,0.6876884274166256,0.25814271517755816,0.00431704088542566,0.8345441052929004,3.0921110792252477,non_event
27,XX,B,3.3017543859649123,13,-3,1.8842105263157896,12,-4,7.912280701754386,32,-5,1.1208103592314118,-1,4.333333333333333,2.024561403508772,0.21403508771929824,0.6533305485937065,-2,4,1.550877192982456,-0.28421052631578947,2.8760066833751043,-1.6666666666666667,10.666666666666666,4.701754385964913,1.1403508771929824,61.31772575250836,0,106,0.20961567260448,-0.24309451735067772,1.0315276749732567,0.2775456767321511,0,0.8993904733390552,2.554449262835416,non_event
28,XX,B,3.1824324324324325,10,-4,1.2837837837837838,6,-6,7.837837837837838,22,-6,0.9711229086229086,-2,4,1.945945945945946,-0.06081081081081081,0.48817567567567566,-3,3,1.391891891891892,-0.49324324324324326,2.5806306306306306,-6,9,4.351351351351352,0.75,67.18666666666667,4,105,0.20015531465429623,-0.3427374231232947,1,0.2769266215765693,0.01673941732321527,0.9716940608378934,1.9585444003929535,event
29,XX,B,2.764705882352941,6,-2,2.235294117647059,6,-4,8.705882352941176,18,1,1.0990196078431371,-0.5,2,2.1176470588235294,0.1176470588235294,0.8147058823529412,-1,3,1.7647058823529411,-0.2352941176470588,3.0990196078431373,0.25,7,5.0588235294117645,0.7647058823529411,69.22222222222223,22,104,0.11489576078357784,-0.6090398044927897,0.4193624747755216,0.3309536593334196,0.12456129096645656,0.6616952867726152,3.7432627273669854,non_event
31,XX,B,2.85,6,-1,1.65,7,-5,7.75,17,-1,1.253095238095238,-0.3333333333333333,6,2.15,0.25,0.6772619047619047,-1.6666666666666667,3,1.65,-0.15,3.443333333333334,-0.25,10,5.3,1.85,62.523809523809526,0,103,0.19791776781626047,-0.05919417382415921,0.6348790801629641,0.24544166961810615,0.04128679656440356,0.5069565152455181,1.9204926421008333,non_event
34,XX,B,4,5,3,2,5,0,6,8,3,1.2833333333333332,1,1.5,2,0.8,0.43666666666666665,0,1,1.2,-1.4,1.9666666666666663,1.3333333333333333,2.6666666666666665,3.6,0,77.4,54,98,0.1182918847604434,-0.10101133223731112,0.2583043764650818,0.1939278306682357,0.08641791239007578,0.2930269704582281,2.8342601761936868,non_event
35,XX,B,3,5,1,1.3333333333333333,3,-1,5.666666666666667,11,2,0.95,0.6,1.25,2.3333333333333335,-0.3333333333333333,0.4722222222222222,-0.3333333333333333,1,2,-1,1.5166666666666666,0.8,2.75,4.333333333333333,-1.3333333333333333,62.666666666666664,26,91,0.00639915810988123,-0.1831238433640888,0.2805766756690807,0.22437990704349736,0.11858604060977553,0.283428919092051,3.5286486698983865,non_event
39,XX,B,2.4782608695652173,9,-3,0.391304347826087,6,-5,7.043478260869565,14,0,1.0143892339544514,-1.5,5,2,-0.04347826086956521,0.13768115942028986,-1.5,2,1.2608695652173914,-1,2.723913043478261,0,7,4.565217391304348,0.782608695652174,67.04166666666667,0,103,0.17179913556691917,-0.19065060720481436,0.7175724167222194,0.3215678666250525,0.105409255338946,0.8485281374238572,1.664362774952187,non_event
40,XX,B,2.5,4,-1,1.6428571428571428,5,-1,7.357142857142857,15,2,1.25,-1,4,1.9285714285714288,0.6428571428571429,0.6011904761904762,-1,2,1.2142857142857142,-0.2857142857142857,3.119047619047619,1,10,4.642857142857143,1.9285714285714288,45.142857142857146,5,98,0.3756442118288535,-0.05658719315973947,1.0833333333333333,0.3148302697759648,0.04648115532667113,0.6263820898277082,1.4684105477733125,non_event
41,XX,B,3.326923076923077,10,-4,1.871794871794872,8,-5,8.173076923076923,22,-1,1.1099358974358975,-1,4,2.032051282051282,0.15384615384615383,0.6067969067969068,-3,3,1.5256410256410255,-0.3974358974358974,2.801663614163614,-0.3333333333333333,8,4.589743589743589,1,67.19753086419753,0,109,0.2027391552033544,-0.40650800078211846,0.7756717518813397,0.28590162486042403,0.05368130962550509,1.2413030787576955,2.3832755352053008,event
43,XX,B,6.333333333333333,10,4,2.6666666666666665,4,1,11.333333333333334,19,7,1.7222222222222223,1,2.5,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.25,1,1.3333333333333333,-0.3333333333333333,3.4166666666666665,2,4.75,5.666666666666667,1.3333333333333333,83.33333333333333,48,102,0.3172932903164335,0.16977901965783498,0.47165733817141775,0.34546463743626277,0.25875629471181744,0.4398353917231312,4.167710810318432,non_event
46,XX,B,3,5,1,1.75,5,0,6.125,14,-2,1.0104166666666667,0.6666666666666666,1.5,1.375,0.625,0.6833333333333333,0,1.6666666666666667,1.125,0.125,2.0375,-2,3.5,2.875,0.875,39.888888888888886,24,79,0.16920449007004623,-0.3735580628589605,0.4167609391325752,0.3199762029115401,0.11250350732996849,0.4967433381621192,1.5063853350089749,event
47,XX,Other,1.75,3,-1,2.5,4,1,7.25,12,3,1,-1,3,1.25,0.75,1.5833333333333333,1,3,1.75,1.5,4.5625,1.5,12,5.75,3.75,51,11,81,0.1585224707247049,-0.05645989061266441,0.3490888724185873,0.2040377437461255,0.1083930873764238,0.3134016486427142,2.8283768984923703,non_event
48,XX,Other,1,1,1,-0.5,0,-1,5,6,4,0.5,0.5,0.5,2,-1,-0.16666666666666666,-0.3333333333333333,0,1,-1,2,2,2,4,0,60,23,97,0.147329638668666,0.14667151885782012,0.1479877584795119,0.24419074705040603,0.12463379230782676,0.3637477017929853,2.0848522521956516,event
50,XX,Other,6.333333333333333,8,5,2,3,1,17,19,15,1.35,1.2,1.6,2.6666666666666665,0.3333333333333333,0.6111111111111112,0.3333333333333333,1,1.6666666666666667,-0.6666666666666666,4.4944444444444445,3.4,6.333333333333333,8.333333333333334,1.6666666666666667,72,54,100,0.28454389817178605,0.23156740033969683,0.3547413502645839,0.326014009362965,0.2570247417397405,0.40161783892427,6.024150545880571,non_event
51,XX,Other,3,7,-1,2.6,7,-1,7.4,16,-1,0.59,-1,1.75,1.4,0,0.51,-1,1.75,1.8,-0.4,1.8233333333333333,-0.5,3.6666666666666665,4.6,-0.2,46.166666666666664,0,73,0.13195366204467252,-0.07439748571346928,0.32913315575732144,0.2608291244723288,0.16664657225729732,0.3181023811700975,2.453034733680835,non_event
52,XX,Other,4,5,3,4,5,3,6.5,10,3,1.5833333333333337,1.5,1.6666666666666667,2,1,2.3333333333333335,1.6666666666666667,3,3,2,4,3,5,4,4,33,23,43,0.40890520265963826,0.3957486049163552,0.4220618004029213,0.09606337724926411,0.08190549560139823,0.11022125889713,2.0692377259882204,non_event
53,XX,Other,2.5714285714285716,4,1,1.1428571428571428,4,-3,5.571428571428571,11,1,0.8452380952380952,0.16666666666666666,1.5,1.8571428571428572,0,0.5095238095238095,-0.6,2,1.1428571428571428,-0.2857142857142857,1.8333333333333333,0.5,3.6666666666666665,4.428571428571429,-1,64.14285714285714,30,100,0.08818502356764148,-0.2318619703194332,0.39110852309443184,0.24289514645661708,0.11142191002514658,0.4062118103741992,2.5002908284153973,event
54,XX,Other,2.5,4,1,0,3,-3,6.5,13,0,0.75,0.5,1,3,-1,0.2,-0.6,1,2,-1,1.625,0,3.25,4.5,-2,47.5,40,55,0.2678906088166252,0.22827344231378893,0.3075077753194614,0.3689624516572973,0.3463181217838815,0.391606781530713,1.5872042212002726,non_event
57,XX,Other,6,6,6,1,1,1,13,13,13,2,2,2,2,2,0.5,0.5,0.5,2,-1,4.333333333333333,4.333333333333333,4.333333333333333,7,2,90,90,90,0.25354112831135406,0.25354112831135406,0.25354112831135406,0.17168147912979387,0.17168147912979387,0.17168147912979387,5.583343098005963,non_event
59,XX,Other,4,4,4,-2,-2,-2,7,7,7,1.3333333333333333,1.3333333333333333,1.3333333333333333,2,1,-1,-1,-1,1,-3,2.3333333333333335,2.3333333333333335,2.3333333333333335,3,1,108,108,108,0.1451166395542883,0.1451166395542883,0.1451166395542883,0.19789225074420852,0.19789225074420852,0.19789225074420852,2.97224721798812,non_event
60,XX,Other,0.6666666666666666,2,-1,-0.3333333333333333,1,-1,3.3333333333333335,7,-3,0.3333333333333333,0,0.5,2,-1.3333333333333333,0.08333333333333333,-0.25,0.5,1,-0.6666666666666666,1.5833333333333333,0,3,3.6666666666666665,0,59.666666666666664,51,77,-0.0383945726964278,-0.2910653251714446,0.2229882575908224,0.3295806190104109,0.22657509591334576,0.454852421047088,1.675350728777807,event
61,XX,Other,6,6,6,-2,-2,-2,8,8,8,1.5,1.5,1.5,3,1,-0.5,-0.5,-0.5,1,-2,2.6666666666666665,2.6666666666666665,2.6666666666666665,3,2,88,88,88,0.15277424198889622,0.15277424198889622,0.15277424198889622,0.34365355745149384,0.34365355745149384,0.34365355745149384,4.20981312468542,event
62,XX,Other,2,2,2,3,3,3,5,5,5,1,1,1,1,1,1.5,1.5,1.5,2,1,2.5,2.5,2.5,3,2,42,42,42,0.18185172080245873,0.18185172080245873,0.18185172080245873,0.2500034741000211,0.2500034741000211,0.2500034741000211,2.933700585430695,non_event
63,XX,Other,3.6666666666666665,6,2,1.3333333333333333,3,-1,8,15,3,1.3333333333333333,1,2,1.6666666666666667,0.6666666666666666,0.2,-1,1,0.6666666666666666,-0.3333333333333333,2.5,2,3,4,0.6666666666666666,54.333333333333336,20,84,0.23995586441652392,0.11044396487724156,0.38971284406417867,0.2041304089172961,0.06644716792177234,0.2861364376947844,1.825431587661653,non_event
64,XX,Other,3.6666666666666665,5,3,1.6666666666666667,3,1,8,11,3,1.0833333333333333,0.75,1.5,1.6666666666666667,0.3333333333333333,0.6111111111111112,0.3333333333333333,1,1.3333333333333333,-0.3333333333333333,2.566666666666667,2.2,3,4,0.3333333333333333,53,36,73,0.279043477939962,0.0512365413129138,0.5399842564983969,0.23297653044434377,0.10841345221693303,0.40061175720593184,1.793719090751122,non_event
65,XX,Other,1.6,4,-1,1,1,1,4.2,10,-3,0.46,-1,1.5,1.2,-0.2,0.4666666666666667,0.25,1,1,-0.4,1.3666666666666667,-3,4,3,0,49.285714285714285,17,89,0.1847142021002429,-0.14501318865346569,0.36471635936791663,0.2501999305543579,0.14569607256945383,0.4306044527407445,1.9870401703207512,non_event
66,XX,Other,3.2093023255813953,10,-3,0.8837209302325582,8,-3,8.767441860465116,21,0,1.2883720930232558,-0.75,7,2.3488372093023258,0.27906976744186046,0.475968992248062,-1,5,1.3255813953488371,-0.3953488372093023,3.8015503875968992,0,21,5.511627906976744,1.8837209302325584,54.59090909090909,0,101,0.21005500425668713,-0.1820943938456434,0.9185586535436918,0.26954818198462754,0.07229132093888109,0.8824721730111371,3.067459855244828,non_event
67,XX,Other,3.7058823529411766,12,-2,1,4,-2,8.882352941176471,22,-2,0.9626050420168067,-0.4,2.6666666666666665,2.1176470588235294,-0.29411764705882354,0.24509803921568624,-1,1.3333333333333333,1.2941176470588236,-1.1176470588235294,2.251750700280112,-0.5,5.5,5,-0.29411764705882354,82.6470588235294,15,101,0.1663619629614961,-0.28524633507000324,0.3982254034220674,0.2777805570376153,0.0666277257461084,0.6292344281187453,3.3057292101793245,non_event
71,XX,Other,3.0588235294117645,9,0,0.6470588235294118,4,-2,7.882352941176471,15,2,0.8970588235294118,0,2,1.8235294117647056,-0.1176470588235294,0.15098039215686274,-1,1,0.8823529411764706,-0.7647058823529411,2.842156862745098,0.4,6,5,1.0588235294117647,67.38888888888889,0,104,0.12166743047650028,-0.15502066928510755,0.34811919072940556,0.3177818904511979,0.1422682856167828,0.6007644120805475,2.9401528030414177,event
76,XX,Other,3.9875,12,-1,2.2,10,-2,9.9,21,2,1.2840625,-0.3333333333333333,3,2.225,0.3,0.7543154761904762,-1,3,1.525,-0.1625,3.4145833333333333,0.4,8,5.3875,1.3625,61.27710843373494,0,102,0.2578238058219312,-0.26343877124509285,0.8189074062943598,0.29314165767706724,0.06451441777295049,0.8272360627759433,4.478281816735247,non_event
79,XX,Other,2,2,2,2,2,2,2,2,2,0.5,0.5,0.5,1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,1,1,1,3,-1,10.5,0,21,0.10331667284990104,0,0.20663334569980207,0.34093541112228265,0.34093541112228265,0.34093541112228265,1.1541247841001812,non_event
80,XX,Other,3.36,9,0,1.44,6,-2,8.68,23,-1,1.122,0,4,2.04,0,0.560952380952381,-1,2,1.38,-0.46,2.841285714285714,-0.5,8,4.62,0.78,59.517857142857146,0,103,0.21807943756602088,-0.1834230100402389,0.7249698434260448,0.2970160804893431,0.02397010815701801,0.7639633311684729,3.572670516695774,non_event
82,XX,Other,5,6,4,0.5,2,-1,7.5,10,5,1.6,1.2,2,3,0.5,0,-1,1,0,0,3.75,2.5,5,5.5,2,49.5,27,72,0.3821728350362198,0.28541505164152275,0.4789306184309168,0.30704414331272206,0.21498185743219816,0.399106429193246,3.09977533673101,non_event
83,XX,D,4,10,-3,3.2,10,-2,9.12,17,-3,1.302,-1,3.5,2.12,0.4,1.126,-0.5,4,2,0.2,3.0893333333333333,-1,9,5,1,58.88,10,103,0.2812813011177955,-0.1904644730092272,0.8418249348466791,0.3910259088115454,0.14166037128324094,1.114115885142611,2.7734337962069304,non_event
84,XX,D,1,1,1,-2,-2,-2,7,7,7,0.5,0.5,0.5,2,-1,-1,-1,-1,0,-2,7,7,7,7,7,23,23,23,0.24319373189222693,0.24319373189222693,0.24319373189222693,0.3774003795517843,0.3774003795517843,0.3774003795517843,0.7754010171582998,non_event
85,XX,D,3.7222222222222223,10,-1,2.2222222222222223,6,-2,8.277777777777779,16,-3,1.0288359788359789,-0.5,3,2.1666666666666665,-0.1111111111111111,0.7849206349206349,-1,3,1.6666666666666667,-0.2222222222222222,2.660185185185185,-1.5,8,4.944444444444445,0.6111111111111112,61,9,103,0.25639043534837586,-0.19427483737938608,0.7516210531181334,0.26929746348580147,0.03107023544236392,0.6705204702576818,2.731109258784307,non_event
86,XX,D,3.7142857142857144,8,0,2.4285714285714284,4,1,10.428571428571429,18,3,1.2523809523809524,0,2,2,0.42857142857142855,1.3095238095238095,0.6666666666666666,2,1.7142857142857142,0.8571428571428571,4.0285714285714285,2,6,5.285714285714286,3,44.25,13,104,0.15424504719684057,-0.2027767764134532,0.5324992949445236,0.3271585131569669,0.18004027169615214,0.4964265186083675,2.4466161652019576,non_event
92,XX,D,3.933333333333333,11,-4,2.3666666666666667,7,-2,10.233333333333333,27,-3,1.0838095238095238,-1,3,2.2333333333333334,-0.1,0.8157142857142857,-1,3,1.9666666666666663,-0.4,3.301944444444445,-1,8,5.633333333333334,1.2333333333333334,73.63333333333334,6,105,0.23636576724921823,-0.0834895671529963,0.49362645122465376,0.3199115889256533,0.08932270062976957,0.8303300858899105,3.819711663019091,non_event
94,XX,D,4.333333333333333,12,2,1.8333333333333333,4,1,10.5,21,4,1.0380952380952382,0.42857142857142855,2,1.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,1.3333333333333333,-0.5,3.088888888888889,2.2,4,4,2.3333333333333335,57.166666666666664,26,93,0.12236986307234804,-0.1420315604516787,0.49267944507998224,0.2839483275354844,0.02274383867420086,0.6043905247418095,2.513674128536447,non_event
95,XX,D,3.717948717948718,10,-1,1.1538461538461535,5,-2,8.41025641025641,19,-2,1.3782051282051282,-0.3333333333333333,4,2.5384615384615383,0.2564102564102564,0.476068376068376,-1,2,1.4102564102564104,-0.4871794871794872,3.092735042735043,-2,9,4.9743589743589745,1.358974358974359,45.1875,0,105,0.2472059153835276,-0.03098175181917983,1.1754824259386172,0.34461419610178967,0.08798008713991161,1.308829798500346,1.6367431851452483,non_event
97,XX,D,4.416666666666667,8,1,2.9166666666666665,8,-2,10.083333333333334,23,1,1.4972222222222222,0.2,5,2.3333333333333335,0.5,1.073611111111111,-0.5,2.6666666666666665,1.9166666666666667,0.25,3.7472222222222222,0.16666666666666666,7.666666666666667,5.833333333333333,1.6666666666666667,65.91666666666667,21,100,0.2668139426283983,0.00876256558458058,0.7132854760547731,0.3520815496638886,0.1653245991570407,0.6047376319577208,3.208360811601484,non_event
98,XX,D,3.25,10,-1,2.4411764705882355,10,-4,8.602941176470589,23,-1,1.1980800653594772,-0.25,3,2.1176470588235294,0.2647058823529412,0.7355392156862746,-1,3,1.7058823529411764,-0.27941176470588236,3.0142156862745098,-1,7,5.338235294117647,1.0147058823529411,55.31944444444444,0,107,0.23799476312955875,-0.22535832493396432,1.1874270527833777,0.3213856117474897,0.00844630531826855,1.033318035596043,3.3951159185037145,non_event
99,XX,D,2.6666666666666665,7,0,0.8333333333333334,3,-1,9.5,18,3,0.8305555555555555,0,1.5,1.5,0,0.23333333333333336,-1,1.5,1.1666666666666667,-0.6666666666666666,3.6595238095238094,1.8571428571428572,7,4.666666666666667,2.5,53.714285714285715,13,106,0.205106142799122,0.0219067873273965,0.5395006022841247,0.30899121119728745,0.0876433506902547,0.5833396716154602,2.3096496599896494,event
101,XX,D,3.9846153846153847,14,-1,2.4153846153846152,11,-4,9.123076923076924,32,0,1.317912087912088,-0.3333333333333333,4,2.276923076923077,0.4153846153846154,0.931978021978022,-3,6,1.9230769230769231,-0.1076923076923077,3.354175824175824,0,9,5.230769230769231,1.553846153846154,50.36619718309859,0,107,0.264822608566135,-0.16162904022962113,0.9638094061735292,0.323651977414111,0.06469943352083507,0.974242129447092,3.05362480031208,non_event
104,XX,D,1.1666666666666667,5,-1,-0.3333333333333333,1,-2,5.166666666666667,9,3,0.5416666666666666,-1,3,1,0,0.11111111111111112,-0.6666666666666666,1,0.6666666666666666,-0.5,2.875,1.5,4,3.1666666666666665,2.5,41.333333333333336,28,71,0.1973043184911938,0.04508707745909649,0.3200100567379929,0.2744813314759781,0.18623724356957944,0.40625000000000006,1.334754400179572,non_event
109,XX,D,4.166666666666667,8,0,2.9444444444444446,7,-1,9.27777777777778,23,-2,1.1935185185185184,0,2.3333333333333335,2.1666666666666665,0,0.8305555555555556,-0.3333333333333333,1.6666666666666667,1.7777777777777777,-0.2222222222222222,3.013888888888889,-2,6,5.111111111111111,0.5,66.78947368421052,10,103,0.2040845574822912,-0.15601628979989943,0.5940001327321436,0.31262769139724106,0.05243871415636984,0.7697123767077821,2.3029251894463183,non_event
110,XX,D,3.1666666666666665,6,1,3,5,2,7.666666666666667,11,3,1.1388888888888888,0.5,2,2.3333333333333335,0,0.8972222222222223,0.5,1.6666666666666667,1.8333333333333333,-0.5,3.0833333333333335,1.75,5,5.333333333333333,0.8333333333333334,74,21,101,0.22933582426221405,0.07191232142098426,0.36525200865098234,0.34487282425849664,0.21694058924444637,0.4531189999681354,3.050291041181616,non_event
113,XX,D,3,3,3,3,3,3,13,13,13,0.6,0.6,0.6,3,-1,0.6,0.6,0.6,3,-1,3.25,3.25,3.25,6,1,106,106,106,0.4450144482888793,0.4450144482888793,0.4450144482888793,0.6473168821370313,0.6473168821370313,0.6473168821370313,3.751120831108165,non_event
115,XX,D,5,6,4,1.5,2,1,10,12,8,1.1,1,1.2,1.5,1,0.75,0.5,1,1.5,0,2.833333333333333,2.6666666666666665,3,3.5,2,52,47,57,0.2326715140977609,0.2043359395050104,0.2610070886905115,0.14403096213643504,0.11710920614636212,0.17095271812650795,2.461392165604345,non_event
116,XX,D,12,12,12,10,10,10,23,23,23,1.3333333333333333,1.3333333333333333,1.3333333333333333,2,0,1,1,1,3,-1,3.2857142857142856,3.2857142857142856,3.2857142857142856,5,1,102,102,102,0.4033460818092443,0.4033460818092443,0.4033460818092443,0.2825759914182299,0.2825759914182299,0.2825759914182299,4.7606196245072745,non_event
117,XX,E,3.4642857142857144,12,-1,1.9285714285714288,9,-2,8.142857142857142,19,0,1.1383503401360544,-0.3333333333333333,4,1.9464285714285712,0.19642857142857145,0.7452380952380953,-2,4,1.5357142857142858,-0.125,2.8726190476190476,0,7.5,4.446428571428571,1.3928571428571428,55.516666666666666,0,106,0.24905488736270123,-0.12445632743282714,0.7759046189183701,0.31171134456229843,0.01010829191265824,0.7758946462525265,2.0920140781124292,non_event
118,XX,E,1.3333333333333333,4,0,1.6666666666666667,3,0,3.6666666666666665,7,1,0.26666666666666666,0,0.8,0.6666666666666666,-0.3333333333333333,0.9166666666666666,0,2,1.3333333333333333,0.3333333333333333,1.9166666666666667,1,3,2.6666666666666665,0.6666666666666666,32.666666666666664,16,47,0.04065630199415007,-0.1873125,0.3478806562555469,0.3105372685838741,0.04564354645876384,0.5754309907089844,1.6511726003898004,non_event
121,XX,E,5.333333333333333,8,3,3.6666666666666665,6,0,11.22222222222222,16,1,1.6923280423280422,0.6,2.6666666666666665,3.2222222222222223,0.1111111111111111,1.1314814814814815,0,2.5,2.2222222222222223,-0.2222222222222222,3.7338624338624338,0.2,5.333333333333333,6.222222222222222,1.4444444444444444,56,13,97,0.33579727416498933,0.04372864938551762,0.6631092167691145,0.5170581360815076,0.31870653779866953,0.8868416490252569,4.017146597894458,non_event
